,Question
85243,"Before taking some letters off his last name, Gorelick, this soprano sax man's first paid gig was with Barry White"
211933,"In 1994 this former ""Family Ties"" star got ""Greedy"" with Olivia d'Abo & Kirk Douglas"
44346,"If Rex Harrison hadn't accepted this role, we would have heard Christopher Plummer ""talk to the animals"""
1244,"A member of the Algonquin Round Table, this petite brunette wrote a story called ""Big Blonde"""
18446,"Based on a Scottish melody, <a href=""http://www.j-archive.com/media/2006-07-25_J_02.mp3"">this</a> song of arrival was first used offically around 1845"
152917,"She was 13 when she became Broadway's original ""Annie"" in 1977"
153254,"In ancient times, lodestone was used as a form of this instrument"
186300,"U Thant, in this current country"
114354,"Starting in 1984, he's played the same character continuously on 2 primetime shows over the last 15 seasons"
158163,In 1993 Eugene & Carolyn Shoemaker & David Levy discovered a highly fragmented one of these
8817,Kermit the Frog's eyeballs were originally made of these light sports balls
30697,"Completes the line from a Thomas Hood poem, ""No fruit, no flowers, no leaves, no birds, ___"""
122539,"Starting & stopping at intervals, like today's windshield wipers"
94437,"In 1521 the title of ""Defender of the Faith"" was bestowed on this king who clashed with the Pope"
21047,"In music, it's the lowest tone of a scale; in politics it's a rousing convention speech"
3120,"""Trouble ahead, trouble behind, and you know that notion just crossed my mind"" (Now we see who's the Deadhead)"
98970,Most of these Myanmar cats are descended from a female named Wong Mau
91478,"Every year during the Kentucky Derby Festival, the Belle & Delta Queen steamboats race each other down this river"
78227,"(<a href=""http://www.j-archive.com/media/2010-09-13_J_10.jpg"" target=""_blank"">Sarah of the Clue Crew shows a model of an ocean.</a>) On the ocean floor, earthquakes squeeze together a large amount of water and push it to the surface, causing <a href=""http://www.j-archive.com/media/2010-09-13_J_10a.jpg"" target=""_blank"">this</a>, from the Japanese for ""harbor wave"""
75470,This brightest object in the night sky gives off no light of its own
211661,This world capital is on the island of Java
153778,It wasn't incorporated as a city until 1836; perhaps witchcraft was to blame...
12076,"""Dennis and Edna"" did this"
14616,Say ahhhhhhhh! The Dalton Iceberg Tongue on this continent actually looks like a tongue
157945,Great frugality or unwillingness to spend money
168366,"Some ocean sediment is radiolarian ooze, made of these parts of tiny protozoans"
144377,A literary critic & a poet are rescued at sea by ruthless Capt. Larsen in this Jack London classic
192943,This secretary in Ronald Reagan's cabinet shares his name with one of the 3 men in a tub
212848,Adela St. Johns'
41077,"This writer's dad, Hermann, married Julie Lowy in 1882 & named their son after the Austro-Hungarian emperor"
54880,"Her ""Prince Charming"" made it to the church on time in 1956"
185310,In the 18th C. Linnaeus thought it was a type of citron; he must not have tried citron meringue pie
172253,My patience is at an end! You've utilized this ultimate twig
8705,It's the island instrument heard here
211536,Kuwait
182122,"Regarding themselves as rulers of the Muslim world, Turkish sultans held this title until 1924"
109422,"Ranked No. 22, this country's Prince Alwaleed Bin Talal Alsaud is worth an estimated $13.3 billion"
189202,"Your kids might enjoy a visit to S. Williamsport, PA. where there's a museum devoted to this sports program"
164458,"""Please allow me to introduce myself, I'm a man of wealth and taste"""
54548,"(<a href=""http://www.j-archive.com/media/2007-05-07_DJ_25.jpg"" target=""_blank"">Jon of the Clue Crew plays with cool lab equipment.</a>)  Infrasonics detects and interprets <a href=""http://www.j-archive.com/media/2007-05-07_DJ_25a.jpg"" target=""_blank"">sounds</a> we can't hear, like those produced by this kind of event; infrasonics would have helped the Pompeiians"
149059,"Joining such pop culture icons as Dorothy's ruby slippers, this was donated to the museum by Jerry Seinfeld in 2004"
18715,"Nick Rhodes, Andy, John & Roger Taylor, Simon Le Bon"
43714,"This forearm bone takes its name from the Latin for ""elbow"""
139439,"An orgiastic, unrestrained festival in ancient Rome bearing the name of a god"
45129,"Spinning, grinding, prayer & paddle are different types of this object"
81259,"This element, Pm, was named for the guy who gave fire to humanity in Greek legend"
203374,To expel from the legal profession
81050,"The French don't seem to get tired of this man, first appointed prime minister in 1974 & now president"
26137,"He originated ""The Origin of Species"""
161925,This murderous leader of Al Qaeda in Iraq was killed by an air strike in a house in June
208907,"Ogden Nash wrote that this explorer ""discovered America and they put him in jail for it"""
201136,Hodori the Tiger was the mascot of the 1988 Olympic Games at Seoul in this country
189276,Joplin was a master of this musical style that emerged from saloons in the late 19th century
152965,This South American country was named for a man born in 1451 in Genoa
32648,"In 1998 ""Profiles In History"" offered for sale this Wild West doc's dental kit, seen here"
119335,In the 18th century Oliver Evans invented the high-pressure type of this engine
72187,"An address label error led to a character on this show receiving a TV guide as ""Ms. Chanandler Bong"""
18744,"Strangely, Ben Franklin's list of over 200 synonyms for ""drunk"" omits ""As high as"" one of these"
209768,This founder of the Special Olympics found herself in the hall in 1998
12215,http://www.j-archive.com/Read all about me at www.jeopardy.com this punctuation mark showguide_bioalex.php
44351,"After Bette Davis turned down the role of Mildred Pierce, this rival grabbed it & won an Oscar"
135275,"In the opening chapter of this Homerian epic, Athena urges Telemachus to look for his father, Odysseus"
36943,"Following custom, this queen married 2 of her own brothers: Ptolemy XIII & Ptolemy XIV"
147497,"Hemingway named this powerful heroine in ""For Whom The Bell Tolls"" this, after his 40-foot yacht"
166048,The extension of a land mass to about 500' underwater; it gives way to the Continental Slope
75856,"Vets help prevent bird owners from catching psittacosis, known as this bird's ""fever"""
25174,Bitter herbs are featured on this holiday's Seder plate
55085,Smaller species of these birds are commonly known as doves
65357,You can ride a real trolley at the Seashore Trolley Museum in Kennebunkport in this state
107680,"Flutter, like eyelashes"
83893,Rhizo- refers to this part of a plant; the rhizosphere is the soil around it
207757,"Her maiden name was Southworth, not Southfork"
95972,"This Johnny Depp character tells his psychiatrist, ""Don Octavio, you are a great lover like myself'"
183706,"The Middle French word for this freshwater crustacean was ""crevice"", which evolved into our English word"
68972,"Samuel Taylor Coleridge: ""A Vision in a Dream"""
4095,"In 2009 a new hominid skeleton dubbed Ardi was aged at 4.4 million years, predating this other ""girly"" find by 1 mil. years"
143029,This bar soap that floats was invented in Cincinnati
212976,"...in 1893, became professor of clinical microscopy at the Army Medical College in Washington, D.C."
33291,"""Sons"" and ""A House Divided"" were sequels to this Asia-set novel"
178712,This Hindu god of wisdom & good fortune has the head of an elephant (7 letters)
143725,"When Will compared ""thee to a summer's day"", he wrote, ""Rough winds do shake the darling buds of"" this month"
33576,The name of this Romanian capital first appears in a document of Vlad the Impaler
43272,"Lake Onega, Lake Baikal"
157204,"The odds against throwing a 6 with one die, or a Doors song that announced, ""No one here gets out alive"""
98014,"""Inventive"" name for leather shoes & purses coated with varnish for a hard glossy finish"
164020,In 1857 this husband of Queen Victoria was given the title Prince Consort
76727,"The documentary film subtitled ""Bananas Is My Business"" profiles this movie star of the '30s & '40s"
199272,"Also a singles star, she was Martina Navratilova's long-time doubles partner"
73404,"2009: Wes Welker, Randy Moss; they had a pretty good quarterback"
95897,It doesn't contain secret data but ads divided into categories
3171,"A ""high"" time in art: SIENNA ACRES"
145233,Royal Palm State Park was incorporated into this national park when it was created in 1947
71137,World Book says that this round animal found in shallow coastal waters resembles a fuzzy brown cookie
165590,"This Greek goddess of the hunt took an interest in Atalanta, who grew up to be a great hunter"
167623,California's Green Globe is a popular variety of this veggie with an edible heart
155258,"In Mark 4:39 Jesus calmed this body of water by saying, ""Peace. Be still"""
10999,"The Wienerwald; Johann Strauss composed some ""Tales of"" them"
81894,In 1795 the king of Spain granted him the first license to commercially produce Tequila
214793,"The last of the old style of these ""bugs"" rolled off an assembly line in Puebla, Mexico in July 2003"
199983,"You should know whether he wrote ""The Sorrows of Young Werther"" or not"
173153,It's recommended you try the Sachertorte while at the Hotel Sacher in this capital city
65920,In 1957 this chain of about 60 radar sites along the 70th Parallel went into operation
80820,"The new symbol for this airline is seen <a href=""http://www.j-archive.com/media/2009-06-10_J_27.jpg"" target=""_blank"">here</a>"
150667,"Legend says fondue was invented in this largest Swiss city when winter left only cheese, bread & wine"
64771,This magician who died on Halloween is said to haunt the ruins of his Hollywood Hills estate
97069,"Looks like we've got a green light, folks -- oops, it's just the clouds of methane around this third-largest planet"
117063,The volume of one type of this solid is computed by determining the area of a circle & multiplying it by the height
206304,Transcendentalist philosopher Bronson Alcott was the father of this famous authoress
15426,Her portrayal of Jeannie inspired a 2001 Barbie doll
37694,"Carl Wunderlich introduced the use of this instrument to modern medicine in the 1850s, not 1898.6"
150207,"Since 1997, GoDaddy.com has been registering this type of name, the fundamental part of a web address"
36610,"(<a href=""http://www.j-archive.com/media/2008-10-31_DJ_03.jpg"" target=""_blank"">Jon of the Clue Crew moves some mah-jongg tiles on top of some others.</a>)   To start playing mah-jongg, the player who is the East Wind rolls the dice to determine who has the honor of <a href=""http://www.j-archive.com/media/2008-10-31_DJ_03a.jpg"" target=""_blank"">opening</a> this aptly named structure"
203732,Joanne Woodward
52484,This city's art museum in Forest Park was the Palace of Fine Arts at the 1904 World's Fair
155405,"Founded in 1652, it's South Africa's oldest city established by Europeans"
96456,"In a magic square, each row, column & main diagonal adds to the same total; the one <a href=""http://www.j-archive.com/media/2010-06-03_J_14.jpg"" target=""_blank"">here</a> is missing this number"
201382,The words of the anthem were written late in this war
38344,(We'll wrap it up with Sofia in New York): You can ride the subway for 31 miles without changing trains from 207th St. to this area in the far reaches of Queens
9088,The only moon in our solar system that astrologists say has an influence circles this planet
102253,"It features the author of ""Notes on the State of Virginia"""
46926,...in this religion that considers Abraham & Sarah its patriarch & matriarch
193820,"In 1920 he published ""Glinda of Oz"", a story about the impending war between the Flatheads & the Skeeters"
61017,Aurum
117381,"He was king of the Franks, emperor of the Romans, & son of Pepin the Short"
127841,"He starred in ""10"" & appeared in a comedy revue called ""Beyond the Fringe"""
157806,"This NASCAR racer's son, Dale Jr., is known as ""Little E"""
207674,"A people got this name, now also used for a type of taxicab, from the mistaken belief that they came from Egypt"
173799,"(<a href=""http://www.j-archive.com/media/2006-02-16_J_24.wmv"">Jon of the Clue Crew surrounds a smiling Jimmy with his thumbs and forefingers made into a rectangle.</a>)  Also done to a painting, it's what <a href=""http://www.j-archive.com/media/2006-02-16_J_24.jpg"" target=""_blank"">I'm</a> <a href=""http://www.j-archive.com/media/2006-02-16_J_24a.jpg"" target=""_blank"">doing</a> to visualize what the shot will look like on screen"
32886,"(<a href=""http://www.j-archive.com/media/2008-12-02_J_02.jpg"" target=""_blank"">Sarah of the Clue Crew sits at a place setting at the International Butler Academy, the Netherlands.</a>)  Spoon handles for this course should all face to the right, forks to the left, & they are always positioned above the place setting"
61646,"We wonder if this guy seen <a href=""http://www.j-archive.com/media/2009-09-16_J_21.jpg"" target=""_blank"">here</a> still has that shirt"
84872,Astronomer John Herschel developed the process to make this type of architectural drawing
29731,"Bob's books include ""Confessions of a Hooker: My Lifelong Love Affair with"" this"
128902,"This alliance's flag contains all the flags of its members, including Peru, Grenada, & the U.S."
108714,"Where a doctor ""hammers out"" a patellar reflex"
178394,"In Glen Echo, Maryland, tour the former headquarters of the American branch of this, housed in Clara Barton's home"
24228,The name of this London street off Whitehall is often used to mean the British government
22190,"This movie covers the rise of The One-ders, later The Wonders"
40900,The knight is the first character to tell his story in this Chaucer classic
32270,"""Halloween"" is short for ""All Hallows' Eve"" as it's the night before this holiday once called All Hallows' Day"
191432,Playboy advised “Don't wear t-shirts with pink sports coats unless you live” here
24609,This word for washed clothing is the name of a fashion line by Shelli Segal
154388,It's the horizontally pleated sash usually worn with a tuxedo
181394,"Jane magazine says this sport ""is to waterskiing what snowboarding is to skiing"""
159842,"Since 1905 it's been dying, dying--still fluttering--dead!"
120019,"Cywydd, a verse form featuring rhyming couplets, comes from this British Isles country"
158092,"(<a href=""http://www.j-archive.com/media/2004-10-27_J_18.jpg"" target=""_blank"">Hi, I'm Tim Russert of NBC's <i>Meet the Press</i>.</a>)  In 1985 I supervised a broadcast from Rome featuring a live interview with this man, a first for American television"
140601,Erika Slezak has played the role of Victoria Lord on this daytime soap since 1971
186936,"It's not just a special occasion like Easter or Boxing Day, it's also a vacation in general"
117363,"Roslyn, Washington represented Cicely, Alaska, the setting of this Rob Morrow series"
63642,"A sudden rise of emotion, as in one ""of anger""; in cards, it can be royal"
124575,All of the peoples of the world belong to this single species
126542,"Counted among this ancient people's gods were Khonsu, Amon & Ptah"
165097,"Karrie Webb has been called one of the greatest players of this sport, male or female"
202546,Hopefully you know it's the TV sitcom that starred Faith Ford & Kelly Ripa as sisters
4046,"This president called his 1953 appointment of Earl Warren ""the biggest damn' fool mistake I ever made"""
86976,This film starring Laurence Olivier as Gen. Douglas MacArthur was produced by the Unification Church
5616,"John, Taylor, Erskine"
155262,Donato di Niccolo found fame as a Renaissance sculptor using this name (later taken by a Ninja Turtle)
161327,8-letter term for the end of the world as we know it (& I feel fine)
110059,"You may not want to visit this national park in July, when the average high is about 115 degrees--what a ""killer""!"
169617,"It's the first form of transportation in the lyrics of Neil Diamond's ""Coming To America"" song"
98090,"The Fairmont, after which James Brolin's TV ""Hotel"" was modeled"
99911,"This Eastern European city first mentioned around 1147 is the most populous in Europe, with over 10 million people"
194730,"This 1993 James Redfield book has been described as ""An adventure in pursuit of a spiritual mystery"""
119362,Cha-ching! This resort lies on Absecon Island on the southeast coast of New Jersey
72581,At age 8 this Polish-French composer played a piano concerto by Ghirivetz in public
138933,Take an archaic version of a second person pronoun & add beach grains to make this number
139882,Creole mustard is usually flavored with this pungent root that's used as a condiment
200816,In 1975 he became the 1st president to attend a performance at Ford's Theatre since Lincoln's assassination
112234,Animal symbol of the political party that convened in New York City in August 2004
173207,"The 10 Plagues, including locusts, appear in chapters 7 to 11 of this book of the Bible"
35517,"The Dominican Republic, Haiti, the Bahamas"
64790,"After his death, his final lines in the film ""Giant"" were dubbed by Nick Adams"
27785,"Mother Jones said of herself, ""I'm not a humanitarian, I'm a"" this ""raiser"""
8837,"Please don't forget this word, from the Greek for ""oblivion"""
196024,"Danzig is the German name for this port city of nearly 500,000 Poles"
1346,"(<a href=""http://www.j-archive.com/media/2000-05-23_DJ_02.jpg"" target=""_blank"">Hi, I'm Heather Tom of <i>The Young and the Restless</i>.</a>)  My sister Nicholle played Mr. Sheffield's daughter Maggie on this Fran Drescher sitcom"
162829,This 1971 documentary about great white sharks contains some of the most terrifying underwater footage ever shot
19409,"____ artichoke, aka the sunchoke"
5335,1999: The first rule of this film is Brad Pitt doesn't really exist
185870,"Though spelled differently, it's the real first name of Diddy & Jay-Z"
37833,"(VIDEO DAILY DOUBLE): This 1971 film featured the memorable debut seen here: ""Whatcha all comin' back here in the dark?"""
2225,"A Mrs., in Munich (4)"
32720,"Things unveiled in 1999 included my <a href=""http://www.j-archive.com/media/2008-09-08_J_29.jpg"" target=""_blank"">star</a> on the Hollywood Walk of Fame & <a href=""http://www.j-archive.com/media/2008-09-08_J_29a.jpg"" target=""_blank"">this</a> London structure"
149558,"The Society of Arts & Sciences named its short story award after this ""Gift of the Magi"" author"
96,This car company has been in the news for widespread recalls of its Corollas & other models
37625,"As Annie, the reluctant bus driver, Sandra Bullock ground through the gears in this 1994 action hit"
153751,"After a fire, Jackson turned the mansion into an example of the ""revival"" of this civilization's architecture"
6687,Almost half of north Americans have this kind of blood
137928,"Marty Robbins went to No. 1 with a song about this town, & won a Grammy for it in 1960"
112625,"The unlucky guy seen <a href=""http://www.j-archive.com/media/2009-03-31_J_17.jpg"" target=""_blank"">here</a> is the hawk variety of <a href=""http://www.j-archive.com/media/2009-03-31_J_17a.jpg"" target=""_blank"">this</a> insect"
180482,"Letting go of this Rams back with almost 12,000 career rushing yards could come back to haunt me"
64472,"""Sunshine"" & ""Broken Glass"""
135313,It's the large river that runs through Albuquerque & Brownsville
96914,A person who deliberately avoids facing facts is said to hide his head in the sand like this bird
106759,Cirrhosis
195678,George Washington had the pine siding painted to look like mahogany at this estate
67742,"<a href=""http://www.j-archive.com/media/2006-11-13_J_07.jpg"" target=""_blank"">""A Chorus Line""</a> is ""one singular sensation"" again on Broadway with the music of this Tony-winning composer"
157305,Persian prophet of the 6th century B.C.
149442,"In 1956 she starred in ""High Society"" & also appeared on a postage stamp"
10458,Paint guys: Henry-Edward
26423,Florence Chadwick was the first woman to swim this in both directions; Gertrude Ederle swam it one way
182715,"Of locations in the titles of the Hope-Crosby ""Road"" movies, this African one is last alphabetically"
213198,In July King Phumiphon of Thailand joined this king of swing in a jam session
8771,She became Texas' governor in 1990 when her frontrunner opponent kept blundering in interviews
31039,"Bizarrely, Orson Welles played Captain Ahab, Starbuck & Ishmael in a 1971 experimental film version of this"
117258,Playboy playmate Crystal Harris called off her June 2011 nuptials to this 85-year-old just days before the wedding
213176,Area bared here:
191016,In 1999 this U.S. city's police chief quit after riots disrupted the World Trade Organization meetings
86206,"If you like to roll your own coins, you know there are this many pennies in a standard roll"
26857,"Phrase following ""So you met someone who set you back on your heels"""
132477,"The $ may have originated as PS, an abbreviation for this other monetary unit"
152948,"Mozart & Haydn each taught this composer, briefly; maybe he just wouldn't listen"
53746,"(<a href=""http://www.j-archive.com/media/2005-11-24_J_28.jpg"" target=""_blank"">Sarah of the Clue Crew enjoys a stew-like dish in Moscow, Russia.</a>)  Poet Yevtushenko said he worked on the principle of this dish: throw beets, carrots, cabbage in--what's important is the taste"
11412,David gave this son & successor advice & plans for building the temple in Jerusalem
149479,"I always wanted a male heir, but little Ed didn't last long; this ""bloody"" daughter of mine succeeded him"
173432,Shade of green that Princess Grace might have worn since it's named for an Irish family
198789,"Bewildered by this poet's play ""The Cocktail Party"", Eleanor cracked that ""He must be doing something extremely clever"""
107656,"On December 26, 1909 this sculptor of ""The Bronco Buster"" died at age 48"
65385,Buck has unfamiliar yearnings & stirrings when he hears it
30695,"In ""For Me and My Gal"" bells rang for Judy & this actor who was making his film debut"
132441,"In the 1150s this philosopher began writing the ""Mishneh Torah"", which he completed 10 years later"
14421,"These ""quasi-stellar radio sources"" are among the brightest & most distant objects in the universe"
141548,"It's the wacky, but useful product, in use here (""applause"" to turn on the lamp)"
146564,"Rough wedding day! This title gal finds not only is her fiance still married, the lady is kept in an attic at Thornfield Hall"
52180,"His first son, Lamech, was born when he was 187"
83845,"Though lower-deck sailors were seldom made officers, Thomas Lyne rose to ""rear"" one of these"
194324,"With successes like ""Peter Pan"", he could afford to help sponsor Scott's Antarctic expedition"
1051,Biblical man with a talking ass
89799,A candy made of fruit juice & gelatin is called Turkish this
103265,This capital is located on Luzon Island
40312,"(<a href=""http://www.j-archive.com/media/2011-01-17_DJ_10.jpg"" target=""_blank"">Oprah Winfrey gives the clue.</a>) I'll need an interpreter to interview this amazing woman--& the audience would go wild when her teacher Anne Sullivan comes onstage"
209097,"1994's ""Bandit Queen"" told the story of Phoolan Devi, a hero to the poor people of this country"
215746,"Famous for her work with a paper shredder, she worked for Iran-Contra witness Oliver North"
175086,"Despite their name, spring these, caused by alignment of the Sun, Moon & Earth, happen in the ocean in every season"
27844,"The last scene of ""Richard II"" is set in this famous royal castle west of London"
195844,"A whip, or a mascaraed hair (4)"
194912,"In 2004 he was back as the title vampire slayer in ""Blade: Trinity"""
197321,"Having missed out on this ceremony at age 13, Henny Youngman had one in 180 at age 73"
104601,Amsterdam's name reflects the fact that the city grew up around a dam built on this river
18879,"Charlie Melancon represents Houma, New Iberia & Chalmette for this state's 3rd, y'all"
147396,A live animal park in Lima
35539,"In France, the TGV is a high-speed one of these"
84393,To arrange information in columns & rows
61266,Either monozygotic or dizygotic
191423,"Long, straight, 2-edged sword with a large cup hilt; some people have this type of wit"
101310,Artsy southern section of Paris
84982,You'll find both campuses of Northwestern University on this Great Lake
147077,"It parallels 5th & 7th Avenues, & long-time New Yorkers still call it 6th Avenue"
215664,"Miss Manners says that if you wear white shoes after this holiday, ""you will develop warts on your toes"""
58504,"In the 1850s this British female poet wrote a blank verse novel called ""Aurora Leigh"""
5613,"When admiring the Stamford train station, thank this state's Christopher Dodd, who helped secure funding"
85270,"The font seen here: 10, 9, 8, 7..."
151579,"On his 20th attempt, Dale Earnhardt won this grueling auto race February 15, 1998"
111337,Sebring & Town & Country
50052,"In this 2000 Clint Eastwood film, a group of prunish astronauts goes into space"
125696,"When his ""Madama Butterfly"" opened at La Scala in 1904, it was greeted with hisses"
174262,"To get from Madrid to Lisbon by river, take the Manzanares to the Jarama to this river"
111563,Belgian Noel Godin masterminded a February 1998 hit on Bill Gates with one of these
178897,1985: Jessica Lange as this country legend
192078,(AUDIO Daily Double) - The exit line which usually followed the music heard here:
184611,"Investigating a possible regicide by this fella; got his address, Dunsinane, but his wacked-out wife worries me"
60248,"The First Flight Inn is in this state, as you might expect"
157059,"The Connecticut River, like the Quinnipiac & Saugatuck Rivers, flows into this sound"
202875,Pressing & bagging are the final steps in this process
9665,On party invitations: BYOB
156346,"If he had lived there back in 1000 B.C., Robin Hood might have been ""Prince of"" this chief city of upper Egypt"
81514,The author of a book with someone else's name on it instead
154994,"Of the bluefin, the bigeye or the skipjack, the species of tuna that can grow to 1,800 pounds & 14 feet long"
115629,"Astrologers say that when this ""Planet of Communication"" goes retrograde, stuff on Earth falls apart"
156576,"He & William MacGillivray wrote ""The Ornithological Biography"" to go with his ""Birds of America"""
70730,"This frontiersman served as an Indian agent from 1853 to 1861 in Taos, New Mexico"
120599,Poli holds your dentures in.  Your dentures in
116318,"On June 1, 1976 the United Kingdom & this Atlantic island nation agreed to end the ""Cod War"""
214664,One of the 2 presidents to win the national popular vote 3 times but only be elected president twice
63281,"The musical ""Sally"" urged us to ""always look for"" this ""and try to find the sunny side of life"""
201052,"On Jan. 23, 1995 he signed the first bill passed by the 104th -- the Congressional Accountability Act"
14811,It's the fifth book of the Bible's New Testament
85208,Last name of famous department store founder James Cash
123539,"Michelle Pfeiffer's in ""The Story of Us"""
115878,"(<a href=""http://www.j-archive.com/media/2012-01-23_J_22.wmv"">Sarah of the Clue Crew presents the clue.</a>)  Some define the boundary of the Arctic as the southern limit of the icy region with this, perennially frozen subsoil"
44134,"""To the red country and part of the gray country of Oklahoma, the last rains came gently"""
109374,This breed of draft horse originated in the Clyde River Valley
12039,Israel's conflict with Egypt near the end of 1956 led to the Israeli seizure of this peninsula
100192,"This violet-eyed beauty was 12 years old when she starred in ""National Velvet"" in 1944"
50427,One of the 2 Central American countries that do not have both a Pacific & an Atlantic coast
96098,"In ""Nuts"" she was a hooker accused of murder who fought to stand trial rather than be declared insane"
119706,"January is National  Month for these people, who need to sit afterwards for 15 minutes & have juice & cookies"
52599,Eva Crane became interested in apiculture when she received a swarm of these as a wedding present
168341,"Elected to the House of Representatives in 1966, he was the first Republican to represent Houston"
87694,"Well, I'll be Dharma, she's 5' 10"""
204888,"If someone intends to tan your hide, he's going to turn it into this fabric"
115513,"The rapid, vibrating motion of wings & flags"
123270,Related books you may also want to read on the same subject are provided in this source list
203867,Patagosaurus thrived on this continent 160 to 170 million years ago
157411,This university is home to the team whose logo is seen here (Terps)
2099,"For peat sake, you should know this word for wet, spongy ground"
31143,It was slang for coffee before it became a programming language that could run on any platform
179539,There are 2 Ys in the name of this type of possum that may weigh as little as 1/4 oz.
143911,This program teaches employment skills to young people usually between the ages of 16 & 21
213994,"Mary-Kate & Ashley Olsen, for <a href=""http://www.j-archive.com/media/2008-11-20_DJ_24.jpg"" target=""_blank"">example</a>"
170598,"Die Brucke, a 20th century German movement, means this, & was meant to be one to the future"
124943,The Royal Austrian/French Connection; The Ace of Cakes; Ol' Headless
125145,"During World War II, the Allies referred to him as ""The Paperhanger"""
215302,"This 1961 Tennessee Williams play takes place at the Costa Verde, a small Mexican hotel on a jungle-covered hilltop"
190266,This krill-eater similar to the octopus has 8 arms & 2 tentacles
86469,William Herschel used a Newtonian telescope to discover this planet & its moons Oberon & Titania
58403,She is the most recent who was not the child of a monarch
216505,"For Marcel Proust the ""vicissitudes of life had become indifferent"" after eating these small French cakes"
38428,"This senator from Wisconsin who founded the Progressive movement was nicknamed ""Battlin' Bob"""
20702,"Until the '60s, French was the official language of this British island in the English Channel"
137490,The removal from land or a person of unwanted chemical or radioactive impurities
182869,"Mature domestic pigs have 44 permanent ones of these, which replace 28 temporary ones"
192122,"(<a href=""http://www.j-archive.com/media/2005-04-06_J_08.jpg"" target=""_blank"">Sarah of the Clue Crew reports from outside an NYPD station.</a>)  The NYPD bomb squad robot was made by this military corporation that also developed the Stealth bomber"
199811,"A card-playing countess ends up as a ghost in this ""Nutcracker"" composer's opera ""The Queen of Spades"""
151325,"She's the Hall of Famer heard here, makin' like Jerry Lee Lewis"
171208,"Her Cross Creek farmhouse where she penned ""The Yearling"" is part of a state historic site in Florida"
160819,This idea that God & the universe are identical was powerfully stated by Spinoza in the 17th century
199845,"John Osborne's ""L.B.I.A."""
206529,"Her title ""Sonnets from the Portuguese"" referred to her husband's nickname for her"
14943,"In ""The Main Event"", she inherits a boxer played by her ""What's Up Doc?"" co-star Ryan O' Neal"
190216,"Burton, Robbins, McGraw"
213315,The European Space Agency launches its Ariane rockets from this South American territory
66024,The heart has 4 chambers: 2 atria & 2 of these lower chambers
116685,"A 1982 Elton John song says ""Baby's got"" these, the song's title, ""holding back the tears"""
70421,"(<a href=""http://www.j-archive.com/media/2010-11-22_DJ_30.wmv"">Kelly of the Clue Crew reads from the Dance Theatre of Harlem.</a>)  The final pas de deux is one of the famous dances from this ballet; maybe it's fitting that its choreographer Lev Ivanov died on Christmas Eve when it's set"
151572,"""61/61.  Against all odds"""
133326,"Played by Neil Patrick Harris, this genius graduated from med school at age 14"
65528,The region around Mount Etna is this island's most heavily populated
136,"Teri Hatcher looked ""shipshape"" as one of the singing ""mermaids"" who jumped on board this cruisin' series in 1985"
58014,California
172296,This state's Padre Island has been called the world's longest barrier island
85314,"Appropriately, <a href=""http://www.j-archive.com/media/2011-12-09_J_25.jpg"" target=""_blank"">this</a> First Lady was ""full of grace"""
133946,The Purus & the Putumayo both pour into this river
81729,"Pastrami, corned beef, lox & bagels are common fare at this type of restaurant"
92465,In 1981 the U.S. placed one on Japanese car imports
141501,A perfusionist operates the medical machine named for these 2 organs
84173,"Alharamain, King Faisal Foundation"
103659,"A drop in the bucket, or in this much larger body of water, is trivial"
136313,"To deceive or cheat, possibly at this variety of pool"
90804,"In 1896, 20 years after the original work, he wrote ""Tom Sawyer, Detective"""
167555,"As NYC police commissioner, he had a ""bully time"" cracking down on graft in the department"
51497,"This Rombauer & Becker book claims to be ""America's bestselling basic cookbook of all time"""
128058,"To increase a jet plane's thrust, turn on these that feed fuel into the hot exhaust gases"
195460,"Coleridge: ""In Xanadu did Kubla Khan..."""
214878,These gold coins introduced in 1967 are minted in the South African city of Centurion
47937,Alexander Solzhenitsyn spent 1945 to 1953 in one of these places for a letter critical of Stalin
89878,"Spare me your pleas--it amuses me to step on children, & I do not choose to become Dr. Jekyll"
215137,"The film ""Chris & Don: A Love Story"" is about painter Don Bachardy & this author of ""Goodbye to Berlin"""
183661,Gas stations: a red Pegasus
147852,Natasha Gregson Wagner
25491,This title Coen Brothers scribe wrestles with the task of writing a Wallace Beery wrestling movie
66844,One of the 2 leaders of the band who met at Bard College in New York
156475,The title of this 1910 E.M. Forster novel refers to the home of Henry & Margaret Wilcox
141432,"French for ""study"", it's a musical piece intended to help students improve their technique"
120904,Sidney Crosby & Evgeni Malkin
107596,"This expression of ""relative"" simian astonishment dates back to the 1920s"
91585,"He was to have starred in the film, but his death at the Chateau Marmont in 1982 forced a change"
206090,"In 1871 he answered, ""Yes, and I feel thankful that I am here to welcome you"""
116932,"Susan Sarandon, Michelle Pfeiffer & Cher were this title group"
61485,"Seen <a href=""http://www.j-archive.com/media/2006-06-13_J_19.jpg"" target=""_blank"">here</a> is part of the world-famous landmark sculpted by this man"
6102,During his reign St. Pius X revised this Latin version of the Bible
118724,"Moises the Manatee's <a href=""http://www.j-archive.com/media/2009-07-20_DJ_14.jpg"" target=""_blank"">home</a>, this island commonwealth"
21029,"A written prose speech in honor of a deceased person: ""E"" is for..."
